climate station,lat,long,crop,avg sowing doy,# values sowing,avg harvest doy,# values harvest,earliest sowing doy,latest sowing doy,earliest harvest doy,latest harvest doy
9535,51.1833,9.9333,SBee,91,13,279,11,79,102,260,306
9536,51.1833,10.1167,SBee,90,9,279,9,73,108,269,284
9540,51.2,10.0667,SBee,82,11,280,11,73,100,266,294
9542,51.2167,10.0167,SBee,84,11,281,11,62,106,266,295
9568,51.0333,9.4,SBee,79,16,271,16,66,99,264,279
9571,50.9833,9.2667,SBee,86,16,272,16,73,96,258,280
9603,50.5333,9.65,SBee,94,3,280,3,86,103,275,284
9618,51.45,9.4167,SBee,80,8,278,9,52,96,269,292
9619,51.4833,9.25,SBee,90,15,279,13,73,105,262,297
9621,51.4,9.4667,SBee,78,10,294,10,71,95,274,306
9626,51.4667,9.4833,SBee,87,4,294,4,77,97,288,301
9646,51.2833,9.6,SBee,83,16,271,16,66,100,266,285
9649,51.3833,9.5167,SBee,83,14,286,15,69,97,265,300
9668,50.7333,8.7,SBee,85,9,284,4,67,105,274,296
9684,51.1,9.5333,SBee,88,16,282,16,67,129,266,310
9697,50.9833,9.5333,SBee,83,3,286,3,80,86,277,293
9732,51.4667,9.0167,SBee,77,13,281,13,55,96,275,297
9741,51.5167,9,SBee,89,3,292,3,83,96,289,295
9764,51.45,9.25,SBee,84,16,274,16,67,100,263,300
9766,51.3333,9.1667,SBee,94,4,271,4,79,109,270,273
9768,51.241,9.2629,SBee,78,16,280,16,66,98,259,307
9770,50.9,9.2167,SBee,85,8,279,8,76,108,270,301
9776,50.8667,9.35,SBee,83,16,289,16,67,103,274,304
9794,50.05,8.3,SBee,76,4,277,5,68,92,260,290
9833,50.15,8.75,SBee,75,16,303,16,58,87,282,330
9837,50.1667,8.9833,SBee,88,7,295,7,76,100,287,301
9845,50.3167,8.15,SBee,84,3,289,3,79,90,286,293
9848,50.3833,8.0333,SBee,84,10,289,10,74,102,258,309
9894,50.2167,8.2667,SBee,82,3,284,3,75,91,280,289
9996,49.7833,7.65,SBee,84,9,260,10,81,88,257,265
10149,50.1333,7.75,SBee,82,9,290,9,79,87,277,306
10176,49.6333,8.3667,SBee,64,16,286,15,56,82,260,337
10181,49.8333,8.0167,SBee,69,12,295,12,62,85,270,326
10187,49.9167,8.1333,SBee,66,16,267,16,47,78,252,291
10189,49.9333,8.1,SBee,73,16,260,16,66,85,248,273
